timestamp,Above 4.120
2026-04-05T07:00:00Z,59.41
2026-04-05T08:00:00Z,48.27
2026-04-05T09:00:00Z,37.26
2026-04-05T10:00:00Z,39.09
2026-04-05T11:00:00Z,37.06
2026-04-05T12:00:00Z,39.81
2026-04-05T13:00:00Z,48.92
2026-04-05T14:00:00Z,47.36
2026-04-05T15:00:00Z,46.09
2026-04-05T16:00:00Z,41.16
2026-04-05T17:00:00Z,40.90
2026-04-05T18:00:00Z,43.72
2026-04-05T19:00:00Z,42.87
2026-04-05T20:00:00Z,40.75
2026-04-05T21:00:00Z,40.91
2026-04-05T22:00:00Z,41.69
2026-04-05T23:00:00Z,47.15
2026-04-06T00:00:00Z,55.06
2026-04-06T01:00:00Z,39.87
2026-04-06T02:00:00Z,24.20
2026-04-06T03:00:00Z,28.49
2026-04-06T04:00:00Z,33.46
